"sample"	"mutations"	"cnas_oncokb"	"cnas_all"
"P-0000086-T01-IM3"	3	3	313
"P-0000103-T01-IM3"	6	9	263
"P-0000144-T01-IM3"	5	0	335
"P-0000186-T01-IM3"	6	3	249
"P-0000225-T01-IM3"	7	2	292
"P-0000249-T02-IM3"	1	1	298
"P-0000408-T01-IM3"	7	2	300
"P-0000446-T01-IM3"	5	2	285
"P-0000481-T01-IM3"	0	0	342
"P-0000485-T01-IM3"	13	0	267
"P-0000570-T01-IM3"	3	2	317
"P-0000722-T01-IM3"	1	3	297
"P-0000730-T01-IM3"	3	0	311
"P-0000793-T02-IM5"	4	4	349
"P-0000870-T01-IM3"	3	1	260
"P-0000899-T01-IM3"	5	0	261
"P-0000977-T01-IM3"	6	3	270
"P-0001047-T01-IM3"	6	5	295
"P-0001194-T01-IM3"	9	0	260
"P-0001222-T01-IM3"	9	0	304
"P-0001301-T01-IM3"	3	7	294
"P-0001393-T01-IM3"	7	7	279
"P-0001583-T01-IM3"	11	1	293
"P-0001586-T02-IM5"	5	3	371
"P-0001850-T01-IM3"	1	4	248
"P-0001855-T01-IM3"	4	3	296
"P-0001996-T01-IM3"	6	6	284
"P-0002044-T01-IM3"	5	1	251
"P-0002132-T01-IM3"	1	8	324
"P-0002152-T01-IM3"	2	0	313
"P-0002171-T01-IM3"	3	0	307
"P-0002208-T01-IM3"	2	4	304
"P-0002428-T01-IM3"	6	2	237
"P-0002454-T01-IM3"	5	3	209
"P-0002465-T01-IM3"	11	4	222
"P-0002712-T01-IM3"	3	1	318
"P-0002737-T02-IM5"	6	0	389
"P-0002743-T01-IM3"	5	0	308
"P-0002883-T01-IM3"	0	3	294
"P-0003078-T01-IM5"	8	2	347
"P-0003432-T01-IM5"	5	0	345
"P-0003521-T02-IM5"	7	3	269
"P-0003536-T01-IM5"	6	3	327
"P-0003547-T01-IM5"	3	1	374
"P-0003650-T01-IM5"	63	0	399
"P-0003679-T01-IM5"	7	4	343
"P-0003713-T01-IM5"	7	4	282
"P-0003894-T01-IM5"	12	2	314
"P-0003914-T01-IM3"	8	0	322
"P-0003915-T01-IM3"	6	0	335
"P-0003930-T01-IM3"	6	5	200
"P-0003981-T01-IM3"	5	7	223
"P-0003983-T01-IM3"	11	1	296
"P-0004025-T01-IM5"	5	3	381
"P-0004044-T01-IM3"	5	4	279
"P-0004046-T01-IM3"	11	2	313
"P-0004116-T01-IM5"	14	5	352
"P-0004228-T01-IM5"	24	9	389
"P-0004268-T01-IM5"	6	2	357
"P-0004407-T01-IM5"	6	0	320
"P-0004536-T01-IM5"	1	3	233
"P-0004541-T01-IM5"	4	6	273
"P-0004552-T01-IM5"	2	5	354
"P-0004616-T01-IM5"	9	2	375
"P-0004647-T01-IM5"	10	0	335
"P-0004998-T01-IM5"	9	1	305
"P-0005300-T01-IM5"	5	1	354
"P-0005471-T01-IM5"	7	6	343
"P-0005488-T01-IM5"	11	4	351
"P-0005500-T01-IM5"	24	0	359
"P-0005618-T02-IM5"	11	2	372
"P-0005637-T01-IM5"	2	6	205
"P-0005683-T01-IM5"	8	0	348
"P-0005709-T01-IM5"	1	1	384
"P-0005767-T02-IM5"	7	6	254
"P-0005819-T01-IM5"	4	4	360
"P-0005899-T01-IM5"	8	5	368
"P-0005930-T01-IM5"	5	0	344
"P-0005991-T01-IM5"	4	4	307
"P-0005993-T01-IM5"	5	13	352
"P-0006010-T02-IM6"	10	0	444
"P-0006112-T01-IM5"	6	10	338
"P-0006148-T01-IM5"	5	2	369
"P-0006333-T01-IM5"	3	1	365
"P-0006360-T01-IM5"	3	0	401
"P-0006495-T01-IM5"	4	1	369
"P-0006519-T01-IM5"	7	3	349
"P-0006604-T01-IM5"	4	0	383
"P-0006610-T01-IM5"	4	5	351
"P-0006615-T01-IM5"	5	7	331
"P-0006699-T01-IM5"	7	2	352
"P-0006700-T01-IM5"	11	1	372
"P-0006732-T01-IM5"	4	0	359
"P-0006919-T01-IM5"	1	4	364
"P-0007159-T01-IM5"	4	0	379
"P-0007163-T01-IM5"	4	2	345
"P-0007164-T01-IM5"	5	0	399
"P-0007227-T01-IM5"	2	2	385
"P-0007311-T01-IM5"	30	5	376
"P-0007386-T01-IM5"	6	2	359
"P-0007572-T01-IM5"	9	5	348
"P-0007598-T01-IM5"	5	3	353
"P-0007687-T02-IM6"	1	0	434
"P-0007903-T01-IM5"	5	1	353
"P-0008039-T01-IM5"	3	0	375
"P-0008187-T01-IM5"	6	1	321
"P-0008305-T01-IM5"	3	2	381
"P-0008536-T02-IM5"	5	8	378
"P-0008711-T01-IM5"	4	9	323
"P-0008788-T01-IM5"	8	0	352
"P-0008809-T01-IM5"	1	0	389
"P-0008844-T01-IM5"	5	0	401
"P-0009055-T01-IM5"	8	0	386
"P-0009065-T01-IM5"	1	7	319
"P-0009066-T01-IM5"	10	1	378
"P-0009067-T01-IM5"	5	10	290
"P-0009088-T01-IM5"	5	0	394
"P-0009368-T01-IM5"	2	0	264
"P-0009503-T01-IM5"	4	1	338
"P-0009563-T01-IM5"	7	3	382
"P-0009628-T02-IM6"	7	1	424
"P-0009785-T01-IM5"	2	0	374
"P-0009868-T01-IM5"	4	5	322
"P-0010313-T01-IM5"	5	3	323
"P-0010317-T01-IM5"	3	9	348
"P-0010827-T01-IM5"	8	2	372
"P-0010833-T01-IM5"	21	0	396
"P-0011284-T01-IM5"	7	0	324
"P-0013973-T01-IM5"	3	0	391
"P-0014327-T01-IM6"	4	8	427
"P-0014424-T01-IM6"	6	7	419
"P-0014672-T01-IM6"	5	1	455
"P-0015202-T01-IM6"	9	8	397
"P-0015331-T01-IM6"	20	8	399
"P-0015641-T01-IM6"	4	0	359
"P-0015904-T01-IM6"	13	7	407
"P-0016008-T01-IM6"	5	11	407
"P-0016020-T01-IM6"	3	0	417
"P-0016233-T01-IM6"	5	2	413
"P-0016294-T01-IM6"	1	0	445
"P-0016657-T01-IM6"	43	0	453
"P-0017167-T01-IM6"	7	1	419
"P-0017370-T01-IM6"	41	0	455
"P-0017503-T01-IM6"	10	2	436
"P-0017972-T01-IM6"	2	11	387
"P-0018340-T01-IM6"	5	11	405
"P-0018371-T01-IM6"	5	8	441
"P-0018464-T01-IM6"	7	2	380
"P-0018710-T01-IM6"	3	4	439
"P-0018782-T01-IM6"	2	6	342
"P-0018800-T01-IM6"	10	3	400
"P-0018921-T01-IM6"	3	3	398
"P-0019197-T01-IM6"	4	0	426
"P-0019259-T01-IM6"	3	0	439
"P-0019271-T01-IM6"	8	2	417
"P-0019351-T01-IM6"	6	1	434
"P-0019413-T01-IM6"	6	5	425
"P-0019499-T01-IM6"	6	0	447
"P-0019657-T01-IM6"	5	4	416
"P-0019691-T01-IM6"	32	1	410
"P-0019754-T01-IM6"	4	6	410
"P-0019796-T01-IM6"	2	0	454
"P-0019919-T01-IM6"	5	6	410
"P-0019955-T01-IM6"	14	0	450
"P-0020070-T01-IM6"	6	0	420
"P-0020109-T01-IM6"	7	10	421
"P-0020148-T01-IM6"	11	10	433
"P-0020169-T01-IM6"	7	10	408
"P-0020175-T01-IM6"	5	0	441
"P-0020226-T01-IM6"	1	0	435
"P-0020249-T01-IM6"	12	4	423
"P-0020499-T01-IM6"	14	0	391
"P-0020586-T01-IM6"	5	0	424
"P-0020591-T01-IM6"	24	7	411
"P-0020616-T01-IM6"	49	0	443
"P-0020732-T01-IM6"	3	8	408
"P-0020814-T01-IM6"	3	4	394
"P-0020903-T01-IM6"	6	4	438
"P-0021099-T01-IM6"	82	0	442
"P-0021235-T01-IM6"	3	9	415
"P-0021315-T01-IM6"	32	0	435
"P-0021403-T01-IM6"	7	18	397
"P-0021426-T01-IM6"	5	0	432
"P-0021459-T01-IM6"	3	3	448
"P-0022100-T01-IM6"	4	3	451
"P-0022144-T01-IM6"	8	7	432
"P-0022510-T01-IM6"	6	11	418
"P-0022526-T01-IM6"	10	4	384
"P-0022669-T01-IM6"	3	2	408
"P-0022847-T01-IM6"	6	6	448
"P-0022893-T01-IM6"	9	0	422
"P-0022896-T01-IM6"	7	0	446
"P-0022979-T01-IM6"	6	0	421
"P-0023194-T01-IM6"	3	4	394
"P-0023409-T01-IM6"	7	7	419
"P-0023553-T01-IM6"	11	4	425
"P-0023558-T01-IM6"	9	0	427
"P-0023567-T01-IM6"	3	16	396
"P-0023603-T01-IM6"	8	6	377
"P-0023644-T01-IM6"	14	6	425
"P-0023669-T01-IM6"	3	4	431
"P-0023739-T01-IM6"	3	2	436
"P-0023815-T01-IM6"	3	0	446
"P-0024054-T01-IM6"	10	1	454
"P-0024258-T01-IM6"	7	4	416
"P-0024270-T01-IM6"	5	0	445
"P-0024419-T01-IM6"	0	1	429
"P-0024530-T01-IM6"	7	0	421
"P-0024659-T01-IM6"	5	14	355
"P-0024974-T01-IM6"	13	0	447
"P-0025254-T01-IM6"	9	18	379
"P-0025471-T01-IM6"	4	1	437
"P-0025889-T01-IM6"	1	5	395
"P-0025950-T01-IM6"	6	7	384
"P-0026175-T01-IM6"	7	1	423
"P-0026193-T01-IM6"	3	10	411
"P-0026410-T01-IM6"	7	4	431
"P-0026430-T01-IM6"	5	20	361
"P-0027124-T01-IM6"	16	1	394
"P-0027130-T01-IM6"	7	0	413
"P-0027185-T01-IM6"	0	7	436
"P-0027240-T01-IM6"	12	3	395
"P-0027241-T01-IM6"	102	0	452
"P-0027253-T01-IM6"	8	23	340
"P-0027254-T01-IM6"	6	0	433
"P-0027269-T01-IM6"	10	9	440
"P-0027359-T01-IM6"	10	1	382
"P-0027417-T01-IM6"	3	3	429
"P-0027658-T01-IM6"	8	7	429
"P-0027661-T01-IM6"	1	8	422
"P-0027686-T01-IM6"	5	2	442
"P-0027754-T02-IM6"	4	3	445
"P-0027869-T01-IM6"	5	5	378
"P-0028108-T01-IM6"	6	0	446
"P-0028382-T01-IM6"	2	0	436
"P-0028581-T01-IM6"	2	1	452
"P-0028657-T01-IM6"	7	5	407
"P-0028909-T01-IM6"	4	0	448
