"arm"	"tcn"	"lcn"	"cn_length"	"arm_length"	"frac_of_arm"	"cn_state"	"WGD"	"fcna"	"AS"	"ID"
"1q"	3	1	124555966	124555966	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"2p"	3	1	87764304	87764304	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"3p"	3	0	89055054	89055054	1	"CNLOH BEFORE & LOSS"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"3q"	3	0	106857226	106857226	1	"CNLOH BEFORE & LOSS"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"4p"	2	1	48257537	48257537	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"4q"	2	1	140602483	140602483	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"5p"	5	2	46187191	46187191	1	"GAIN"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"5q"	2	1	111502656	120886113	0.92	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"6p"	3	1	58436816	58436816	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"7p"	3	1	57723581	57723581	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"7q"	3	1	100573678	100573678	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"8p"	3	1	43273798	43273798	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"8q"	3	1	102347574	102347574	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"9p"	3	1	46945819	46945819	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"10p"	2	1	37744763	37744763	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"10q"	2	1	95926464	95926464	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"11p"	2	0	51319115	51319115	1	"LOSS BEFORE"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"11q"	2	0	81851545	81851545	1	"LOSS BEFORE"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"12p"	5	1	31555776	34461820	0.92	"LOSS & GAIN"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"14q"	3	1	86418578	86418578	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"15q"	3	1	80605594	80605594	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"16p"	2	1	35220760	35220760	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"16q"	2	1	54547249	54547249	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"17p"	3	1	22148456	22148456	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"17q"	3	1	58520094	58520094	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"18p"	3	1	14736448	14736448	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"18q"	3	1	59002602	59002602	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"19p"	3	1	23474782	23474782	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"19q"	3	1	34414577	34414577	1	"LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"20p"	5	2	26023705	26023705	1	"GAIN"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"20q"	5	2	36553131	36553131	1	"GAIN"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"21q"	2	1	34964871	34964871	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"22q"	2	1	34009362	34009362	1	"DOUBLE LOSS AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"23p"	1	0	58180962	58180962	1	"LOSS BEFORE & AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"23q"	1	0	8133438	8133438	1	"LOSS BEFORE & AFTER"	TRUE	1	7	"01-IM6_P-0025469-N01-IM6/coun"
"1p"	5	2	119047281	119047281	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"1q"	5	2	105416408	120988312	0.87	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"2p"	5	2	87609082	87609082	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"2q"	5	2	150474929	150474929	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"3p"	5	2	89054982	89054982	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"3q"	5	2	106846296	106846296	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"4p"	4	2	48257467	48257467	1	"TETRAPLOID"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"4q"	4	2	140602291	140602291	1	"TETRAPLOID"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"5p"	5	2	46187141	46187141	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"5q"	5	2	129791741	131768541	0.98	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"6p"	5	2	58436991	58436991	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"7p"	5	2	56381732	56381732	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"7q"	5	2	100396769	100396769	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"8p"	5	2	43273584	43273584	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"8q"	5	2	101904113	101904113	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"9p"	5	2	46945699	46945699	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"9q"	5	2	92452821	92452821	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"10p"	4	1	37744888	37744888	1	"CNLOH AFTER"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"10q"	4	1	94944215	94944215	1	"CNLOH AFTER"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"11p"	5	2	51111505	51111505	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"11q"	5	2	81851471	81851471	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"12p"	5	0	22834694	23192173	0.98	"CNLOH BEFORE & GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"12q"	5	2	86308736	97888155	0.88	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"13q"	5	2	91717612	91717612	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"14q"	5	2	86418524	86418524	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"15q"	5	2	54858053	54956481	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"16p"	3	1	35220651	35220651	1	"LOSS AFTER"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"16q"	3	1	54547206	54547206	1	"LOSS AFTER"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
"17p"	5	2	22148337	22148337	1	"GAIN"	TRUE	0.935169557894917	7	"01-IM5_P-0003616-N01-IM5/coun"
