"Gene"	"Match"	"number"	"ID"
"USP9Y"	1	31	"RP/somatic/s_C_000615_M001_d__"
"DDX3Y"	1	16	"RP/somatic/s_C_000615_M001_d__"
"UTY"	1	21	"RP/somatic/s_C_000615_M001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_000615_M001_d__"
"NLGN4Y"	1	7	"RP/somatic/s_C_000615_M001_d__"
"KDM5D"	1	18	"RP/somatic/s_C_000615_M001_d__"
"EIF1AY"	1	2	"RP/somatic/s_C_000615_M001_d__"
"RPS4Y2"	1	4	"RP/somatic/s_C_000615_M001_d__"
"CYorf17"	1	3	"RP/somatic/s_C_000615_M001_d__"
"SRY"	1	2	"RP/somatic/s_C_000615_M001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_000615_M001_d__"
"ZFY"	1	13	"RP/somatic/s_C_000615_M001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_000615_M001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000615_M001_d__"
"RBMY1J"	1	2	"RP/somatic/s_C_000615_M001_d__"
"AMELY"	1	3	"RP/somatic/s_C_000615_M001_d__"
"TBL1Y"	1	7	"RP/somatic/s_C_000615_M001_d__"
"USP9Y"	1	16	"RP/somatic/s_C_000617_M001_d__"
"DDX3Y"	1	11	"RP/somatic/s_C_000617_M001_d__"
"UTY"	1	15	"RP/somatic/s_C_000617_M001_d__"
"TMSB4Y"	1	1	"RP/somatic/s_C_000617_M001_d__"
"NLGN4Y"	1	4	"RP/somatic/s_C_000617_M001_d__"
"KDM5D"	1	10	"RP/somatic/s_C_000617_M001_d__"
"EIF1AY"	1	1	"RP/somatic/s_C_000617_M001_d__"
"RPS4Y2"	1	3	"RP/somatic/s_C_000617_M001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_000617_M001_d__"
"SRY"	1	3	"RP/somatic/s_C_000617_M001_d__"
"RPS4Y1"	1	3	"RP/somatic/s_C_000617_M001_d__"
"ZFY"	1	9	"RP/somatic/s_C_000617_M001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_000617_M001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000617_M001_d__"
"AMELY"	1	2	"RP/somatic/s_C_000617_M001_d__"
"TBL1Y"	1	4	"RP/somatic/s_C_000617_M001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_000634_M001_d__"
"USP9Y"	1	37	"RP/somatic/s_C_000634_M001_d__"
"DDX3Y"	1	14	"RP/somatic/s_C_000634_M001_d__"
"UTY"	1	25	"RP/somatic/s_C_000634_M001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_000634_M001_d__"
"NLGN4Y"	1	10	"RP/somatic/s_C_000634_M001_d__"
"KDM5D"	1	28	"RP/somatic/s_C_000634_M001_d__"
"EIF1AY"	1	4	"RP/somatic/s_C_000634_M001_d__"
"RPS4Y2"	1	6	"RP/somatic/s_C_000634_M001_d__"
"CYorf17"	1	3	"RP/somatic/s_C_000634_M001_d__"
"SRY"	1	3	"RP/somatic/s_C_000634_M001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_000634_M001_d__"
"ZFY"	1	12	"RP/somatic/s_C_000634_M001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_000634_M001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000634_M001_d__"
"AMELY"	1	4	"RP/somatic/s_C_000634_M001_d__"
"TBL1Y"	1	10	"RP/somatic/s_C_000634_M001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_000638_P001_d__"
"USP9Y"	1	29	"RP/somatic/s_C_000638_P001_d__"
"DDX3Y"	1	13	"RP/somatic/s_C_000638_P001_d__"
"UTY"	1	21	"RP/somatic/s_C_000638_P001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_000638_P001_d__"
"NLGN4Y"	1	8	"RP/somatic/s_C_000638_P001_d__"
"KDM5D"	1	21	"RP/somatic/s_C_000638_P001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_000638_P001_d__"
"RPS4Y2"	1	5	"RP/somatic/s_C_000638_P001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_000638_P001_d__"
"SRY"	1	3	"RP/somatic/s_C_000638_P001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_000638_P001_d__"
"ZFY"	1	12	"RP/somatic/s_C_000638_P001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_000638_P001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000638_P001_d__"
"RBMY1J"	1	2	"RP/somatic/s_C_000638_P001_d__"
"AMELY"	1	4	"RP/somatic/s_C_000638_P001_d__"
"TBL1Y"	1	9	"RP/somatic/s_C_000638_P001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_000641_P001_d__"
"USP9Y"	1	37	"RP/somatic/s_C_000641_P001_d__"
"DDX3Y"	1	13	"RP/somatic/s_C_000641_P001_d__"
"UTY"	1	26	"RP/somatic/s_C_000641_P001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_000641_P001_d__"
"NLGN4Y"	1	7	"RP/somatic/s_C_000641_P001_d__"
"KDM5D"	1	26	"RP/somatic/s_C_000641_P001_d__"
"EIF1AY"	1	4	"RP/somatic/s_C_000641_P001_d__"
"RPS4Y2"	1	5	"RP/somatic/s_C_000641_P001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_000641_P001_d__"
"SRY"	1	3	"RP/somatic/s_C_000641_P001_d__"
"RPS4Y1"	1	5	"RP/somatic/s_C_000641_P001_d__"
"ZFY"	1	12	"RP/somatic/s_C_000641_P001_d__"
"TGIF2LY"	1	2	"RP/somatic/s_C_000641_P001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000641_P001_d__"
"AMELY"	1	5	"RP/somatic/s_C_000641_P001_d__"
"TBL1Y"	1	9	"RP/somatic/s_C_000641_P001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_000654_P001_d__"
"USP9Y"	1	18	"RP/somatic/s_C_000654_P001_d__"
"DDX3Y"	1	6	"RP/somatic/s_C_000654_P001_d__"
"UTY"	1	14	"RP/somatic/s_C_000654_P001_d__"
"TMSB4Y"	1	1	"RP/somatic/s_C_000654_P001_d__"
"NLGN4Y"	1	6	"RP/somatic/s_C_000654_P001_d__"
"KDM5D"	1	17	"RP/somatic/s_C_000654_P001_d__"
"RPS4Y2"	1	3	"RP/somatic/s_C_000654_P001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_000654_P001_d__"
"SRY"	1	2	"RP/somatic/s_C_000654_P001_d__"
"RPS4Y1"	1	4	"RP/somatic/s_C_000654_P001_d__"
"ZFY"	1	10	"RP/somatic/s_C_000654_P001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_000654_P001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000654_P001_d__"
"AMELY"	1	2	"RP/somatic/s_C_000654_P001_d__"
"TBL1Y"	1	5	"RP/somatic/s_C_000654_P001_d__"
"USP9Y"	1	16	"RP/somatic/s_C_000656_M001_d__"
"DDX3Y"	1	6	"RP/somatic/s_C_000656_M001_d__"
"UTY"	1	15	"RP/somatic/s_C_000656_M001_d__"
"NLGN4Y"	1	5	"RP/somatic/s_C_000656_M001_d__"
"KDM5D"	1	14	"RP/somatic/s_C_000656_M001_d__"
"EIF1AY"	1	2	"RP/somatic/s_C_000656_M001_d__"
"RPS4Y2"	1	2	"RP/somatic/s_C_000656_M001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_000656_M001_d__"
"SRY"	1	3	"RP/somatic/s_C_000656_M001_d__"
"RPS4Y1"	1	1	"RP/somatic/s_C_000656_M001_d__"
"ZFY"	1	9	"RP/somatic/s_C_000656_M001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_000656_M001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000656_M001_d__"
"AMELY"	1	1	"RP/somatic/s_C_000656_M001_d__"
"TBL1Y"	1	3	"RP/somatic/s_C_000656_M001_d__"
"USP9Y"	1	13	"RP/somatic/s_C_000662_P001_d__"
"DDX3Y"	1	10	"RP/somatic/s_C_000662_P001_d__"
"UTY"	1	14	"RP/somatic/s_C_000662_P001_d__"
"TMSB4Y"	1	2	"RP/somatic/s_C_000662_P001_d__"
"NLGN4Y"	1	6	"RP/somatic/s_C_000662_P001_d__"
"KDM5D"	1	17	"RP/somatic/s_C_000662_P001_d__"
"EIF1AY"	1	3	"RP/somatic/s_C_000662_P001_d__"
"RPS4Y2"	1	3	"RP/somatic/s_C_000662_P001_d__"
"CYorf17"	1	2	"RP/somatic/s_C_000662_P001_d__"
"SRY"	1	3	"RP/somatic/s_C_000662_P001_d__"
"RPS4Y1"	1	3	"RP/somatic/s_C_000662_P001_d__"
"ZFY"	1	8	"RP/somatic/s_C_000662_P001_d__"
"TGIF2LY"	1	1	"RP/somatic/s_C_000662_P001_d__"
"PCDH11Y"	1	1	"RP/somatic/s_C_000662_P001_d__"
"AMELY"	1	2	"RP/somatic/s_C_000662_P001_d__"
"TBL1Y"	1	4	"RP/somatic/s_C_000662_P001_d__"
"FAM197Y1"	1	1	"RP/somatic/s_C_000184_T002_d__"
"USP9Y"	1	28	"RP/somatic/s_C_000184_T002_d__"
