"arm"	"tcn"	"lcn"	"cn_length"	"arm_length"	"frac_of_arm"	"cn_state"	"WGD"	"fcna"	"AS"	"ID"
"2p"	3	1	80607721	92278702	0.87	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"2q"	3	1	141493965	150554609	0.94	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"3p"	4	2	90265404	90265404	1	"TETRAPLOID"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"3q"	4	2	107260578	107260578	1	"TETRAPLOID"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"4p"	3	1	49606767	49606767	1	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"4q"	2	1	112251300	136659009	0.82	"DOUBLE LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"5p"	3	1	40738168	45455209	0.9	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"5q"	2	0	106974387	133549686	0.8	"LOSS BEFORE"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"6p"	3	1	57051272	58488222	0.98	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"6q"	2	1	95897051	111870631	0.86	"DOUBLE LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"7p"	3	1	57860831	57860831	1	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"9p"	3	1	47153129	47153129	1	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"10p"	4	2	39028835	39028835	1	"TETRAPLOID"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"11p"	4	2	42605395	51372987	0.83	"TETRAPLOID"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"11q"	4	2	82613545	82613545	1	"TETRAPLOID"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"12p"	4	2	34648294	34648294	1	"TETRAPLOID"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"12q"	4	2	89164323	98905905	0.9	"TETRAPLOID"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"15q"	2	0	77012391	82000544	0.94	"LOSS BEFORE"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"17p"	2	0	19255150	22229456	0.87	"LOSS BEFORE"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"18p"	2	0	15366686	15366686	1	"LOSS BEFORE"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"19q"	3	1	27803050	33277869	0.84	"LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"20p"	2	0	26120580	26120580	1	"LOSS BEFORE"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"20q"	5	1	27893036	32733439	0.85	"LOSS & GAIN"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"22q"	2	1	35095850	35095850	1	"DOUBLE LOSS AFTER"	TRUE	0.796837710222889	7	"c/s_C_000615_M001_d__s_C_0006"
"1p"	2	1	98673589	120883630	0.82	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"2q"	2	1	150328979	150616159	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"3p"	2	1	90265299	90265299	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"3q"	2	1	107260746	107260746	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"4q"	2	1	134850622	141239909	0.95	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"5p"	2	1	46394091	46394091	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"6p"	2	1	57051287	58488328	0.98	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"7p"	2	1	53079802	57420284	0.92	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"7q"	2	1	87329851	98759638	0.88	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"8p"	1	0	43639461	43651301	1	"HETLOSS"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"8q"	2	1	102440593	102440593	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"9p"	2	1	47153179	47153179	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"9q"	2	1	93656376	93656376	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"10p"	2	1	39028935	39028935	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"10q"	2	1	96123965	96123965	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"11p"	2	1	43321051	49906940	0.87	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"11q"	2	1	82999245	82999245	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"12q"	2	1	98954186	98954186	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"14q"	2	1	87857546	87857546	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"15q"	2	1	79377620	82203443	0.97	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"16p"	2	1	34551750	35205842	0.98	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"17p"	2	1	22256906	22256906	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"17q"	2	1	58820594	58820594	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"18p"	2	1	15366748	15366748	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"18q"	2	1	62499652	62499652	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"19q"	2	1	34402120	34402120	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"20p"	2	1	26292819	26292819	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"20q"	2	1	36535381	36535381	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"21q"	2	1	36796097	36796097	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"22q"	2	1	35095706	35095706	1	"DIPLOID"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"23p"	1	0	58251012	58251012	1	"HETLOSS"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"23q"	1	0	95858388	95858388	1	"HETLOSS"	FALSE	0.207605561761258	7	"c/s_C_000617_M001_d__s_C_0006"
"1p"	4	0	114037250	120604484	0.95	"CNLOH BEFORE"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"1q"	5	2	127694797	127694797	1	"GAIN"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"2q"	3	1	136708979	150620138	0.91	"LOSS AFTER"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"5p"	5	2	46394041	46394041	1	"GAIN"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"7p"	4	2	54848573	57475750	0.95	"TETRAPLOID"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"8p"	3	0	43655737	43655737	1	"CNLOH BEFORE & LOSS"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"9p"	5	1	36355607	44777649	0.81	"LOSS & GAIN"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"10p"	5	2	39161185	39161185	1	"GAIN"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"12p"	6	2	34648244	34648244	1	"AMP"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"16p"	6	2	35238501	35238501	1	"AMP"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
"18p"	6	2	15366648	15366648	1	"AMP"	TRUE	0.933529633240057	7	"c/s_C_000634_M001_d__s_C_0006"
