sample	target	ratio	CN	corrected.CN
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	1	0.982758620689655	1.96551724137931	1.93343522960361
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	2	0.982758620689655	1.96551724137931	1.96546818501561
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	3	1.00862068965517	2.01724137931034	2.01717811402406
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	4	1	2	1.89310861796009
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	5	1.01724137931034	2.03448275862069	2.00942457607708
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	6	1.07758620689655	2.1551724137931	2.04595455552933
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	7	1.01724137931034	2.03448275862069	2.00520537581555
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	8	0.991379310344828	1.98275862068966	1.99443614555458
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	9	1.05172413793103	2.10344827586207	2.0405794264827
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	10	1.01724137931034	2.03448275862069	2.03444865258883
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	11	1.03448275862069	2.06896551724138	2.00535676151813
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	12	1	2	2.03251797328884
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	13	1.01724137931034	2.03448275862069	2.00549846783374
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	14	1.07758620689655	2.1551724137931	2.03022241172732
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	15	0.982758620689655	1.96551724137931	1.99748835708795
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	16	0.96551724137931	1.93103448275862	2.00672780974484
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	17	1	2	2.00035446216491
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	18	1.03448275862069	2.06896551724138	2.06883841272992
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	19	1	2	1.97621214396347
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	20	0.956896551724138	1.91379310344828	1.97269023064185
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	21	0.982758620689655	1.96551724137931	1.99696012581073
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	22	0.948275862068966	1.89655172413793	1.99299543415523
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	23	0.758620689655172	1.51724137931034	1.06721998006468
s_C_740W28_M001_d__s_C_740W28_N001_d.snp_pileup.gz	24	0.879310344827586	1.75862068965517	1.19893350113889
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	1	1	2	1.9679179882243
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	2	1	2	1.9999509436363
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	3	0.991379310344828	1.98275862068966	1.98269535540338
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	4	1.05603448275862	2.11206896551724	2.00517758347733
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	5	1.01724137931034	2.03448275862069	2.00942457607708
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	6	1.05172413793103	2.10344827586207	1.9942304175983
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	7	0.982758620689655	1.96551724137931	1.93623985857417
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	8	0.991379310344828	1.98275862068966	1.99443614555458
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	9	1.04310344827586	2.08620689655172	2.02333804717235
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	10	1	2	1.99996589396814
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	11	1.01724137931034	2.03448275862069	1.97087400289744
s_C_7VUD6W_M001_d__s_C_7VUD6W_N001_d.snp_pileup.gz	12	1	2	2.03251797328884
