sample	target	ratio
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	1	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	2	0.991666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	3	0.991666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	4	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	5	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	6	1.05
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	7	1.01666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	8	0.9875
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	9	1.03333333333333
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	10	1.01666666666667
