"ensembl_gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"external_gene_name"	"gene_biotype"
"ENSG00000226555"	"AGKP1"	"Y"	16750976	16752238	"AGKP1"	"pseudogene"
"ENSG00000228787"	"NLGN4Y-AS1"	"Y"	16905522	16915913	"NLGN4Y-AS1"	"antisense"
"ENSG00000236131"	"MED13P1"	"Y"	17019778	17019948	"MED13P1"	"pseudogene"
"ENSG00000227949"	"CYCSP46"	"Y"	17053427	17053630	"CYCSP46"	"pseudogene"
"ENSG00000224518"	""	"Y"	17053626	17054595	"AC006989.2"	"pseudogene"
"ENSG00000234620"	"HDHD1P1"	"Y"	17460542	17567954	"HDHD1P1"	"pseudogene"
"ENSG00000235014"	"REREP2Y"	"Y"	28344478	28354295	"REREP2Y"	"pseudogene"
"ENSG00000225876"	""	"Y"	28390498	28390720	"AC024067.1"	"pseudogene"
"ENSG00000251796"	""	"Y"	28393531	28393668	"SNORA70"	"snoRNA"
"ENSG00000229238"	"PPP1R12BP1"	"Y"	28424070	28500565	"PPP1R12BP1"	"pseudogene"
"ENSG00000227166"	"STSP1"	"Y"	17659096	17705211	"STSP1"	"pseudogene"
"ENSG00000252664"	""	"Y"	18174646	18174709	"AC017020.1"	"miRNA"
"ENSG00000252689"	""	"Y"	18250128	18250259	"SNORA20"	"snoRNA"
"ENSG00000252173"	"RNU6-109P"	"Y"	18360815	18360921	"RNU6-109P"	"snRNA"
"ENSG00000252948"	"RNU6-1314P"	"Y"	28507136	28507239	"RNU6-1314P"	"snRNA"
"ENSG00000233843"	"CYCSP48"	"Y"	28546758	28547377	"CYCSP48"	"pseudogene"
"ENSG00000225516"	""	"Y"	9293012	9344176	"AC006156.1"	"protein_coding"
"ENSG00000188399"	"ANKRD36P1"	"Y"	28555962	28566682	"ANKRD36P1"	"pseudogene"
"ENSG00000265197"	""	"Y"	18398127	18398238	"AC053516.1"	"miRNA"
"ENSG00000252323"	"RNU6-184P"	"Y"	18448163	18448269	"RNU6-184P"	"snRNA"
"ENSG00000215506"	"TPTE2P4"	"Y"	28654360	28725837	"TPTE2P4"	"pseudogene"
"ENSG00000224240"	"CYCSP49"	"Y"	28695572	28695890	"CYCSP49"	"pseudogene"
"ENSG00000238074"	"TSPY6P"	"Y"	9324922	9327689	"TSPY6P"	"protein_coding"
"ENSG00000227629"	"SLC25A15P1"	"Y"	28732789	28737748	"SLC25A15P1"	"pseudogene"
"ENSG00000237917"	"PARP4P1"	"Y"	28740998	28780799	"PARP4P1"	"pseudogene"
"ENSG00000228518"	"SURF6P1"	"Y"	19304706	19305532	"SURF6P1"	"pseudogene"
"ENSG00000271595"	"TCEB1P35"	"Y"	19576759	19577094	"TCEB1P35"	"pseudogene"
"ENSG00000224989"	"FAM41AY1"	"Y"	19612838	19626898	"FAM41AY1"	"lincRNA"
"ENSG00000236424"	"TSPY10"	"Y"	9365489	9368291	"TSPY10"	"protein_coding"
"ENSG00000228578"	"TUBB1P2"	"Y"	19628716	19630918	"TUBB1P2"	"pseudogene"
"ENSG00000267935"	""	"Y"	25847479	25850592	"AC016752.1"	"protein_coding"
"ENSG00000172352"	"CDY1B"	"Y"	26191376	26194166	"CDY1B"	"protein_coding"
"ENSG00000230663"	"FAM224B"	"Y"	19664680	19691634	"FAM224B"	"lincRNA"
"ENSG00000231514"	"FAM58CP"	"Y"	28772667	28773306	"FAM58CP"	"pseudogene"
"ENSG00000235857"	"CTBP2P1"	"Y"	59001391	59001635	"CTBP2P1"	"pseudogene"
"ENSG00000252315"	"RNA5SP520"	"Y"	19669744	19669856	"RNA5SP520"	"rRNA"
"ENSG00000252012"	"RNA5SP521"	"Y"	19671654	19671769	"RNA5SP521"	"rRNA"
"ENSG00000238191"	"CLUHP1"	"Y"	19733139	19737712	"CLUHP1"	"pseudogene"
"ENSG00000252038"	""	"Y"	19734941	19735035	"AC068704.1"	"miRNA"
"ENSG00000183795"	"BPY2B"	"Y"	26753707	26785354	"BPY2B"	"protein_coding"
"ENSG00000226353"	"TAF9P1"	"Y"	19740393	19741282	"TAF9P1"	"pseudogene"
"ENSG00000226449"	"CDY5P"	"Y"	19833478	19835057	"CDY5P"	"pseudogene"
"ENSG00000225896"	""	"Y"	19838632	19838960	"AC007742.3"	"pseudogene"
"ENSG00000224166"	"PRYP1"	"Y"	19841408	19856476	"PRYP1"	"pseudogene"
"ENSG00000229129"	"ACTG1P2"	"Y"	19868881	19870005	"ACTG1P2"	"pseudogene"
"ENSG00000250868"	""	"Y"	19880862	19889280	"AC007742.7"	"pseudogene"
"ENSG00000223555"	"USP9YP23"	"Y"	19894090	19896695	"USP9YP23"	"pseudogene"
"ENSG00000235521"	"USP9YP27"	"Y"	19900195	19901364	"USP9YP27"	"pseudogene"
"ENSG00000224336"	"FAM197Y1"	"Y"	9374241	9384693	"FAM197Y1"	"protein_coding"
"ENSG00000183704"	"SLC9B1P1"	"Y"	13496241	13524717	"SLC9B1P1"	"protein_coding"
"ENSG00000187191"	"DAZ3"	"Y"	26909216	26959626	"DAZ3"	"protein_coding"
"ENSG00000114374"	"USP9Y"	"Y"	14813160	14972764	"USP9Y"	"protein_coding"
"ENSG00000252513"	"RNU1-128P"	"Y"	19900883	19901042	"RNU1-128P"	"snRNA"
"ENSG00000224964"	"TRAPPC2P3"	"Y"	19909863	19912576	"TRAPPC2P3"	"pseudogene"
"ENSG00000226011"	"OFD1P1Y"	"Y"	19921687	19937209	"OFD1P1Y"	"pseudogene"
"ENSG00000225740"	"TCEB1P6"	"Y"	19949081	19949408	"TCEB1P6"	"pseudogene"
"ENSG00000229138"	"CDY6P"	"Y"	19993979	19995588	"CDY6P"	"pseudogene"
"ENSG00000224485"	"USP9YP7"	"Y"	20020635	20022686	"USP9YP7"	"pseudogene"
"ENSG00000226116"	"USP9YP6"	"Y"	20024579	20033510	"USP9YP6"	"pseudogene"
"ENSG00000237558"	"CDY7P"	"Y"	20063469	20065380	"CDY7P"	"pseudogene"
"ENSG00000233378"	"USP9YP34"	"Y"	20096229	20105140	"USP9YP34"	"pseudogene"
"ENSG00000237616"	"USP9YP32"	"Y"	20107081	20109132	"USP9YP32"	"pseudogene"
"ENSG00000224033"	"CDY8P"	"Y"	20134179	20135788	"CDY8P"	"pseudogene"
"ENSG00000205916"	"DAZ4"	"Y"	26980008	27053183	"DAZ4"	"protein_coding"
"ENSG00000230412"	"TCEB1P12"	"Y"	20230369	20230696	"TCEB1P12"	"pseudogene"
"ENSG00000226611"	"OFD1P2Y"	"Y"	20242567	20258088	"OFD1P2Y"	"pseudogene"
"ENSG00000225895"	"TRAPPC2P8"	"Y"	20267200	20269988	"TRAPPC2P8"	"pseudogene"
"ENSG00000233120"	"USP9YP15"	"Y"	20278413	20279581	"USP9YP15"	"pseudogene"
"ENSG00000067048"	"DDX3Y"	"Y"	15016019	15032390	"DDX3Y"	"protein_coding"
"ENSG00000252166"	"RNU1-95P"	"Y"	20278734	20278893	"RNU1-95P"	"snRNA"
"ENSG00000232744"	"USP9YP16"	"Y"	20283081	20285685	"USP9YP16"	"pseudogene"
"ENSG00000244646"	""	"Y"	20290496	20298913	"AC024183.3"	"pseudogene"
"ENSG00000229465"	"ACTG1P11"	"Y"	20309770	20310894	"ACTG1P11"	"pseudogene"
"ENSG00000231311"	"PRYP2"	"Y"	20323252	20338370	"PRYP2"	"pseudogene"
"ENSG00000236599"	"TCEB1P26"	"Y"	20340818	20341146	"TCEB1P26"	"pseudogene"
"ENSG00000232899"	"CDY9P"	"Y"	20344721	20346300	"CDY9P"	"pseudogene"
"ENSG00000229302"	"TAF9P2"	"Y"	20438493	20439381	"TAF9P2"	"pseudogene"
"ENSG00000228945"	"CLUHP2"	"Y"	20442064	20446647	"CLUHP2"	"pseudogene"
"ENSG00000252439"	""	"Y"	20444739	20444833	"AC007241.1"	"miRNA"
"ENSG00000233522"	"FAM224A"	"Y"	20488139	20515096	"FAM224A"	"lincRNA"
"ENSG00000251953"	"RNA5SP522"	"Y"	20508009	20508124	"RNA5SP522"	"rRNA"
"ENSG00000252667"	"RNA5SP523"	"Y"	20509921	20510033	"RNA5SP523"	"rRNA"
"ENSG00000249726"	"TUBB1P1"	"Y"	20548860	20551037	"TUBB1P1"	"pseudogene"
"ENSG00000226362"	"FAM41AY2"	"Y"	20552880	20566932	"FAM41AY2"	"lincRNA"
"ENSG00000225716"	"TCEB1P13"	"Y"	20602683	20603011	"TCEB1P13"	"pseudogene"
"ENSG00000229406"	"OFD1P4Y"	"Y"	20615036	20634023	"OFD1P4Y"	"pseudogene"
"ENSG00000227494"	"USP9YP14"	"Y"	20642973	20649286	"USP9YP14"	"pseudogene"
"ENSG00000252209"	"RNU1-48P"	"Y"	20648397	20648558	"RNU1-48P"	"snRNA"
"ENSG00000249634"	"USP9YP5"	"Y"	20652801	20656181	"USP9YP5"	"pseudogene"
"ENSG00000183878"	"UTY"	"Y"	15360259	15592553	"UTY"	"protein_coding"
"ENSG00000251510"	""	"Y"	20653626	20709584	"AC022486.1"	"lincRNA"
"ENSG00000238067"	"XKRYP1"	"Y"	20670463	20670954	"XKRYP1"	"pseudogene"
"ENSG00000233546"	"PRYP5"	"Y"	20691244	20691509	"PRYP5"	"pseudogene"
