tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
9606	Homo sapiens	6736	0	live	SRY	SRXX1, SRXY1, TDF, TDY	sex determining region Y	sex-determining region Y protein|essential protein for sex determination in human males|sex-determining region on Y|testis-determining factor on Y|truncated sex-determining region Y protein	Yp11.2	Y	NC_000024.10	2786855	2787682	minus	1	480000	
9606	Homo sapiens	4267	0	live	CD99	HBA71, MIC2, MIC2X, MIC2Y, MSK5X	CD99 molecule (Xg blood group)	CD99 antigen|E2 antigen|MIC2 (monoclonal antibody 12E7)|T-cell surface glycoprotein E2|antigen identified by monoclonal 12E7, Y homolog|antigen identified by monoclonal antibodies 12E7, F21 and O13|cell surface antigen 12E7|cell surface antigen HBA-71|cell surface antigen O13|surface antigen MIC2	X;Y	X	NC_000023.11	2691295	2741309	plus	11	313470,450000	
9606	Homo sapiens	4267	0	live	CD99	HBA71, MIC2, MIC2X, MIC2Y, MSK5X	CD99 molecule (Xg blood group)	CD99 antigen|E2 antigen|MIC2 (monoclonal antibody 12E7)|T-cell surface glycoprotein E2|antigen identified by monoclonal 12E7, Y homolog|antigen identified by monoclonal antibodies 12E7, F21 and O13|cell surface antigen 12E7|cell surface antigen HBA-71|cell surface antigen O13|surface antigen MIC2	X;Y	Y	NC_000024.10	2691295	2741309	plus	11	313470,450000	
9606	Homo sapiens	6473	0	live	SHOX	GCFX, PHOGY, SS, SHOX	short stature homeobox	short stature homeobox protein|growth control factor, X-linked|pseudoautosomal homeobox-containing osteogenic protein	X;Y	X	NC_000023.11	624344	659411	plus	7	312865,400020	
9606	Homo sapiens	6473	0	live	SHOX	GCFX, PHOGY, SS, SHOX	short stature homeobox	short stature homeobox protein|growth control factor, X-linked|pseudoautosomal homeobox-containing osteogenic protein	X;Y	Y	NC_000024.10	624344	659411	plus	7	312865,400020	
9606	Homo sapiens	1438	0	live	CSF2RA	CD116, CDw116, CSF2RX, CSF2RAY, CSF2RX, CSF2RY, GM-CSF-R-alpha, GMCSFR, GMCSFR-alpha, GMR, GMR-alpha, SMDP4, alphaGMR, CSF2RA	colony stimulating factor 2 receptor subunit alpha	granulocyte-macrophage colony-stimulating factor receptor subunit alpha|CD116 antigen|GM-CSF receptor alpha subunit|alpha-GM-CSF receptor|colony stimulating factor 2 receptor alpha subunit|colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)|granulocyte-macrophage colony-stimulating factor receptor alpha chain	X;Y	X	NC_000023.11	1268814	1325218	plus	22	306250,425000	
9606	Homo sapiens	1438	0	live	CSF2RA	CD116, CDw116, CSF2RX, CSF2RAY, CSF2RX, CSF2RY, GM-CSF-R-alpha, GMCSFR, GMCSFR-alpha, GMR, GMR-alpha, SMDP4, alphaGMR, CSF2RA	colony stimulating factor 2 receptor subunit alpha	granulocyte-macrophage colony-stimulating factor receptor subunit alpha|CD116 antigen|GM-CSF receptor alpha subunit|alpha-GM-CSF receptor|colony stimulating factor 2 receptor alpha subunit|colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)|granulocyte-macrophage colony-stimulating factor receptor alpha chain	X;Y	Y	NC_000024.10	1268814	1325218	plus	22	306250,425000	
9606	Homo sapiens	3563	0	live	IL3RA	CD123, IL3RY, IL3RX, IL3RY, hIL-3Ra, IL3RA	interleukin 3 receptor subunit alpha	interleukin-3 receptor subunit alpha|CD123 antigen|IL-3 receptor subunit alpha|IL-3R subunit alpha|IL-3R-alpha|IL-3RA|interleukin 3 receptor, alpha (low affinity)	X;Y	X	NC_000023.11	1336574	1382689	plus	12	308385,430000	
9606	Homo sapiens	3563	0	live	IL3RA	CD123, IL3RY, IL3RX, IL3RY, hIL-3Ra, IL3RA	interleukin 3 receptor subunit alpha	interleukin-3 receptor subunit alpha|CD123 antigen|IL-3 receptor subunit alpha|IL-3R subunit alpha|IL-3R-alpha|IL-3RA|interleukin 3 receptor, alpha (low affinity)	X;Y	Y	NC_000024.10	1336574	1382689	plus	12	308385,430000	
9606	Homo sapiens	64109	0	live	CRLF2	CRL2Y, TSLPR, CRLF2	cytokine receptor like factor 2	cytokine receptor-like factor 2|IL-XR|TSLP receptor|cytokine receptor CRL2 precusor|thymic stromal lymphopoietin protein receptor|thymic stromal-derived lymphopoietin receptor	X;Y	X	NC_000023.11	1190437	1212762	minus	9	300357,400023	
9606	Homo sapiens	64109	0	live	CRLF2	CRL2Y, TSLPR, CRLF2	cytokine receptor like factor 2	cytokine receptor-like factor 2|IL-XR|TSLP receptor|cytokine receptor CRL2 precusor|thymic stromal lymphopoietin protein receptor|thymic stromal-derived lymphopoietin receptor	X;Y	Y	NC_000024.10	1190437	1212762	minus	9	300357,400023	
9606	Homo sapiens	7258	0	live	TSPY1	CT78, DYS14, TSPY, pJA923	testis specific protein Y-linked 1	testis-specific Y-encoded protein 1|cancer/testis antigen 78|testis specific protein, Y-linked	Yp11.2	Y	NC_000024.10	9466955	9469756	plus	6	480100	
9606	Homo sapiens	6845	0	live	VAMP7	SYBL1, TI-VAMP, TIVAMP, VAMP-7	vesicle associated membrane protein 7	vesicle-associated membrane protein 7|synaptobrevin-like 1|synaptobrevin-like protein 1|tetanus neurotoxin-insensitive VAMP|tetanus-insensitive VAMP	Xq28 and Yq12	X	NC_000023.11	155881318	155943769	plus	8	300053	
9606	Homo sapiens	6845	0	live	VAMP7	SYBL1, TI-VAMP, TIVAMP, VAMP-7	vesicle associated membrane protein 7	vesicle-associated membrane protein 7|synaptobrevin-like 1|synaptobrevin-like protein 1|tetanus neurotoxin-insensitive VAMP|tetanus-insensitive VAMP	Xq28 and Yq12	Y	NC_000024.10	57067838	57130289	plus	8	300053	
9606	Homo sapiens	1617	0	live	DAZ1	DAZ, SPGY	deleted in azoospermia 1	deleted in azoospermia protein 1|testicular tissue protein Li 49	Yq11.223	Y	NC_000024.10	23129355	23199117	minus	28	400003	
