"chrom"	"seg"	"num.mark"	"nhet"	"cnlr.median"	"mafR"	"segclust"	"cnlr.median.clust"	"mafR.clust"	"start"	"end"	"cf.em"	"tcn.em"	"lcn.em"	"ID"	"parameter"	"purity"	"ploidy"
1	1	424	38	-0.124210106558574	0.108548813366117	5	-0.115908882555323	0.121465341020053	1001094	34806090	0.294285720936665	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
1	2	1144	120	0.107396876087682	0.0304105033850498	11	0.109160424654158	0.0116930458323222	35013450	247249303	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
2	3	1034	109	0.0556464879237192	3.48160928434834e-05	10	0.0524842879864725	0.00854102386557795	4561867	204836750	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
2	4	213	26	-0.107398435298115	0.146418762148561	5	-0.115908882555323	0.121465341020053	208230143	242982350	0.294285720936665	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
3	5	1244	112	0.0155165649614859	0.247851036845699	9	0.0112717744847208	0.247851036845699	1449979	197362080	0.24390618724567	2	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
4	6	700	91	-0.0716019295209834	0.0147065312190529	6	-0.0611902732932473	0.0346571752413244	1402580	190262600	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
5	7	306	73	0.417303329089212	0.0230954304012742	16	0.417303329089212	0.0230954304012742	218487	52665350	0.231336334461458	5	2	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
5	8	238	44	-0.0107208853811049	-0.0114397215733767	8	0.0112717744847208	0.0158293955873159	53875481	101265926	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
5	9	76	16	0.259341585573732	0.226207542110389	14	0.254060216814345	0.171411599781173	111983052	115106750	0.300817654948285	3	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
5	10	375	49	-0.131804622562893	-0.00405021140222261	4	-0.115908882555323	0.0194849031707369	116415244	180527455	0.13028380626565	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
6	11	535	120	0.0211260673230406	0.0202746496285576	8	0.0112717744847208	0.0158293955873159	393323	64289350	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
6	12	318	23	-0.183221137666466	0.156070316710669	2	-0.182986484720103	0.156070316710669	64290000	125258206	0.300817654948285	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
6	13	224	35	0.0937334706820742	0.0293993976352558	11	0.109160424654158	0.0116930458323222	125258300	170871052	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
7	14	979	112	0.201672052104192	0.0341630870455227	13	0.204496053241974	0.0358690184021264	330750	158627900	0.300817654948285	3	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
8	15	565	69	0.00220801652662128	0.0242135219401951	8	0.0112717744847208	0.0158293955873159	565300	146186461	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
9	16	551	77	0.078035202736779	-0.000922206087575011	11	0.109160424654158	0.0116930458323222	421980	113560071	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
9	17	267	46	0.33000799369353	0.209767777294525	15	0.33000799369353	0.209767777294525	113560300	139820421	0.290674042573277	4	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
10	18	494	74	-0.0964243571017046	0.0641313563310097	4	-0.115908882555323	0.0194849031707369	1510172	135181407	0.13028380626565	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
